id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl,,,,,,,,,,,,,
H30-AM-12,H30,午前,12,建築学,建築材料,左官材料に関する記述として、最も不適当なものはどれか。,せっこうプラスターは、乾燥が困難な場所や乾湿の繰返しを受ける部位では硬化不良となりやすい。,セルフレベリング材は、せっこう組成物やセメント組成物に骨材や流動化剤等を添加した材料である。,セメントモルタルの混和材として消石灰を用いると、こて伸びがよく、平滑な面が得られる。,ドロマイトプラスターは、それ自体に粘りがないためのりを必要とする。,4,【ショーケン版】ドロマイトプラスターをなめんな！あれは自分自身で強烈な粘り（粘性）を持ってんだよ。だから「のり」なんて入れなくても、コテに吸い付くように塗れるんだ。のりが要るのは「しっくい」の話だろ。左官材料の個性をしっかり分けとけ！,【建龍版】左官材料の性質に関する問題です。ドロマイトプラスターは、水酸化マグネシウムと水酸化カルシウムを主成分とし、非常に高い粘性を持っているため、「のり」を添加する必要がありません。したがって「のりを必要とする」という記述は誤りです。,,,,,,,,,,,,,,
H30-AM-13,H30,午前,13,建築学,建築材料,ガラスに関する記述として、最も不適当なものはどれか。,型板ガラスは、ロールアウト方式により、ロールに彫刻された型模様をガラス面に熱間転写して製造された、片面に型模様のある板ガラスである。,Low-E 複層ガラスは、中空層側のガラス面に特殊金属をコーティングしたもので、日射制御機能と高い断熱性を兼ね備えたガラスである。,強化ガラスは、板ガラスを熱処理してガラス表面付近に強い圧縮応力層を形成したもので、耐衝撃強度が高いガラスである。,熱線反射ガラスは、日射熱の遮断を主目的とし、ガラスの両面に熱線反射性の薄膜を形成したガラスである。,4,【ショーケン版】熱線反射ガラスを「両面」キラキラにしてどうすんだ！反射膜は片面（屋外側）だけで十分だろ。両面に貼ったら部屋の中が鏡みたいになっちまうぞ。ハーフミラーの効果は片面施工で出すもんだ、覚えとけ！,【建龍版】機能性ガラスに関する問題です。「熱線反射ガラス」は、金属酸化物などの薄膜をガラスの「片面（主に屋外側）」に形成したものです。これにより日射を反射・遮断します。両面に形成するとする記述は不適当です。,,,,,,,,,,,,,,
H30-AM-14,H30,午前,14,建築学,建築材料,建築用シーリング材に関する記述として、最も不適当なものはどれか。,弾性シーリング材とは、目地のムーブメントによって生じた応力がひずみにほぼ比例するシーリング材である。,塑性シーリング材とは、目地のムーブメントによって生じた応力がムーブメントの速度にほぼ比例し、ムーブメントが停止すると素早く緩和するシーリング材である。,1成分形高モジュラス形シリコーン系シーリング材は、耐熱性、耐寒性に優れ、防かび剤を添加したものは、浴槽や洗面化粧台などの水まわりの目地に用いられる。,1成分形ポリウレタン系シーリング材は、耐熱性、耐候性に優れ、金属パネルや金属笠木などの目地に用いられる。,4,【ショーケン版】ウレタンシーリングを「耐候性」に優れるなんて言うな！ウレタンは紫外線に激弱なんだよ。日に当たるところ（露出）で使ったら、数年でボロボロに劣化するぞ。金属笠木の目地みたいに外に出る場所なら、シリコーンか変成シリコーンを使え！,【建龍版】シーリング材の化学的性質に関する問題です。ポリウレタン系シーリング材は、接着性は高いですが「耐候性（紫外線への耐性）」に劣るため、太陽光の当たる露出仕上げには適しません。したがって「耐候性に優れ、笠木などの目地に用いる」という記述は不適当です。,,,,,,,,,,,,,,
H30-AM-15,H30,午前,15,建築学,建築材料,内装材料に関する記述として、最も不適当なものはどれか。,コンポジションビニル床タイルは、単層ビニル床タイルよりバインダー量を多くした床タイルである。,複層ビニル床タイルは、耐水性、耐薬品性、耐磨耗性に優れているが、熱による伸縮性が大きい。,パーティクルボードは、日本工業規格(JIS)で定められたホルムアルデヒド放散量による区分がある。,普通合板は、日本農林規格(JAS)で定められた接着の程度による区分がある。,1,【ショーケン版】コンポジションタイルの「コンポジション」の意味を考えろ！「成分が混ざってる」ってことだが、バインダー（糊成分）が「30%未満」と少ないから硬いんだよ。逆に糊がたっぷりなのは「単層（ホモジニアス）タイル」だ。数字の大小を逆に覚えてんぞ！,【建龍版】ビニル床タイルの規格に関する問題です。コンポジションビニル床タイルは、バインダー（合成樹脂）含有率が「30%未満」のものであり、ホモジニアス（単層）ビニル床タイル（30%以上）に比べてバインダー量は「少なく」なります。したがって「1」が不適当です。,,,,,,,,,,,,,,
H30-AM-16,H30,午前,16,施工管理,外構工事,構内アスファルト舗装に関する記述として、最も不適当なものはどれか。,盛土をして路床とする場合は、一層の仕上り厚さ 300 mm 程度ごとに締め固めながら、所定の高さに仕上げる。,舗装に用いるストレートアスファルトは、積雪寒冷地域では主として針入度が 80 〜 100 の範囲のものを使用する。,アスファルト混合物等の敷均し時の温度は、110 °C 以上とする。,アスファルト舗装終了後の交通開放は、舗装表面の温度が 50 °C 以下になってから行う。,4,【ショーケン版】50度で車を通すな！まだアスファルトが柔らかくて、タイヤの跡がくっきり残っちまうぞ。舗装を固めるには、表面温度が「40度」以下になるまでじっと待つのが現場の鉄則だ。たった10度の差が仕上がりを分けるんだよ！,【建龍版】アスファルト舗装の施工管理に関する問題です。舗装終了後の交通開放は、わだち掘れなどの変形を防止するため、舗装表面の温度が「40℃以下」になってから行うことが公共建築工事標準仕様書等で定められています。50℃とする記述は不適当です。,,,,,,,,,,,,,,
H30-AM-17,H30,午前,17,建築学,電気設備,避雷設備に関する記述として、最も不適当なものはどれか。,高さが 20 m を超える建築物には、原則として、有効に避雷設備を設けなければならない。,危険物を貯蔵する倉庫には、危険物の貯蔵量や建物の高さにかかわらず、避雷設備を設けなければならない。,受雷部は、保護しようとする建築物の種類、重要度等に対応した 3 段階の保護レベルに応じて配置する。,鉄筋コンクリート造の鉄筋は、構造体利用の引下げ導線の構成部材として利用することができる。,3,【ショーケン版】避雷針の「保護レベル」を甘く見んな！JIS規格では「I、II、III、IV」の『4段階』で決まってんだよ。3段階じゃねえ。建物の大事さ（重要度）に合わせて、雷を捕まえる網の目を細かくしたり粗くしたりするんだ。,【建龍版】避雷設備の設計（JIS A 4201）に関する問題です。避雷針などの受雷部システムにおける保護レベルは、建築物の重要度や火災リスクに応じて「I、II、III、IV」の「4段階」に区分されています。3段階とする記述は誤りです。,,,,,,,,,,,,,,
H30-AM-18,H30,午前,18,建築学,空気調和設備,空気調和設備に関する記述として、最も不適当なものはどれか。,パッケージユニット方式は、小容量の熱源機器を建物内に多数分散配置する方式であり、セントラルシステムに比較して保守管理に手間を要する方式である。,ファンコイルユニット方式における 4 管式は、2 管式と比較してゾーンごとの冷暖房同時運転が可能で、室内環境の制御性に優れている方式である。,二重ダクト方式は、2 系統のダクトで送風された温風と冷風を、混合ユニットにより熱負荷に応じて混合量を調整して吹き出す方式である。,単一ダクト方式における CAV 方式は、負荷変動に対して風量を変える方式である。,4,【ショーケン版】CAV（シーエーブイ）の「C」は「Constant（一定）」のCだ！風量を「変えない」のがCAV、風量を「変える」のはVAV（バリアブル）だろ！アルファベットの意味を知ってりゃ一発でわかるサービス問題だぞ！,【建龍版】空調方式の制御に関する問題です。CAV（Constant Air Volume）は「定風量」方式であり、風量を「一定」に保ちながら送風温度を調節する方式です。負荷変動に応じて風量を「変える」のはVAV（Variable Air Volume：可変風量）方式であり、記述は不適当です。,,,,,,,,,,,,,,
H30-AM-19,H30,午前,19,建築学,消火設備,消火設備に関する記述として、最も不適当なものはどれか.,不活性ガス消火設備は、二酸化炭素などによる冷却効果、窒息効果により消火するもので、博物館の収蔵庫に適している。,粉末消火設備は、粉末消火剤による負触媒効果、窒息効果により消火するもので、自動車車庫に適している。,泡消火設備は、泡状の消火剤による冷却効果、窒息効果により消火するもので、電気室に適している。,水噴霧消火設備は、微細な霧状の水による冷却効果、窒息効果により消火するもので、指定可燃物貯蔵所に適している。,3,【ショーケン版】電気室で「泡（水気）」をぶっかける奴がいるか！ショートして火花が散って余計にひどいことになるだろ。電気室の火災には、ガスで酸欠にして消す「不活性ガス消火設備」が鉄則だ。泡は駐車場（車庫）とかで使うもんだぞ！,【建龍版】消火剤の適応性に関する問題です。泡消火設備は水分を含むため、電気機器が設置されている「電気室」で使用すると、感電や短絡（ショート）の危険があります。電気室には、汚損が少なく電気絶縁性の高い「不活性ガス消火設備」が適しています。したがって「3」が不適当です。,,,,,,,,,,,,,,
H30-AM-20,H30,午前,20,法規,公共工事標準請負契約約款,請負契約に関する記述として、公共工事標準請負契約約款上、誤っているものはどれか。,受注者は、工事の施工に当たり、設計図書に示された施工条件と実際の工事現場が一致しないことを発見したときは、その旨を直ちに監督員に通知し、その確認を請求しなければならない。,発注者は、受注者が契約図書に定める主任技術者若しくは監理技術者を設置しなかったときは、契約を解除することができる。,工事の施工に伴い通常避けることができない騒音、振動、地盤沈下、地下水の断絶等の理由により第三者に損害を及ぼしたときは、原則として、発注者がその損害を負担しなければならない。,現場代理人は、契約の履行に関し、工事現場に原則として常駐し、その運営、取締りを行うほか、請負代金額の変更及び契約の解除に係る権限を行使することができる。,4,【ショーケン版】現場代理人（所長）にそんなデカい権限はねえよ！「金の変更（代金増減）」や「クビ（契約解除）」を決めるのは、会社のハンコを持ってる社長（経営者）の仕事だ。所長はあくまで「現場を回す」のが仕事。越権行為は法律違反だぞ！,【建龍版】現場代理人の権限に関する問題です。現場代理人は、工事現場の運営や取締りに関する一切の権限を持ちますが、原則として「請負代金額の変更」や「契約の解除」といった、契約の根幹に関わる重要な権限は有していません。これらについては、別途委任を受けている場合を除き、受注者（本人）が行う必要があります。したがって「4」が誤りです。,,,,,,,,,,,,,,
H30-AM-21,H30,午前,21,施工管理,仮設工事,乗入れ構台の計画に関する記述として、最も不適当なものはどれか。,構台の支柱の位置は、使用する施工機械、車両の配置によって決めた。,道路から構台までの乗込みスロープの勾配は、 1/8 とした。,1 階床面と現状地盤面がほぼ同じ高さなので、構台の床面は 1 階床面より 1.2 m 高くした。,山留めの切梁支柱と乗入れ構台の支柱は、荷重に対する安全性を確認した上で兼用した。,3,【ショーケン版】構台の床を「1.2m」も上げたら、ダンプが荷台を上げられねえだろ！構台ってのは、現場の1階の床と同じか、せいぜい「15cm〜30cm」くらい高くして、水が入らねえようにする程度で十分なんだ。1.2mは高すぎて作業効率がガタ落ちだぞ！,【建龍版】乗入れ構台の計画に関する問題です。乗入れ構台の床面高さは、一般に建築物の1階床（1FL）と「ほぼ同じ高さ」か、水はけ等を考慮してわずかに高く設定します。1.2mもの段差を設けると、車両の出入りや作業に支障をきたすため、不適当な計画です。,,,,,,,,,,,,,,
H30-AM-22,H30,午前,22,施工管理,土工事,土工事に関する記述として、最も不適当なものはどれか。,根切り底面下に被圧帯水層があり、盤ぶくれの発生が予測されたので、ディープウェル工法で地下水位を低下させた。,ボイリング対策として、周辺井戸の井戸枯れや軟弱層の圧密沈下を検討し、ディープウェル工法で地下水位を低下させた。,床付け地盤が凍結したので、凍結した部分は良質土と置換した。,ヒービングの発生が予測されたので、ウェルポイントで掘削場内外の地下水位を低下させた。,4,【ショーケン版】ヒービングを「水抜き（ウェルポイント）」で直せると思うなよ！ヒービングは粘土が「重みで回り込む」現象だ。水を抜いたって粘土の柔らかさは変わらねえ。ヒービングを止めたきゃ、山留めを深く打ち込むか、地盤改良でガチガチに固めるしかないんだよ！,【建龍版】地盤の破壊現象への対策に関する問題です。「ヒービング」は、軟弱な粘性土地盤において、山留め壁背後の土圧により掘削底面が盛り上がる現象です。対策としては「山留め壁の根入れ長を深くする」や「地盤改良」が有効であり、地下水位を低下させるウェルポイント工法は主たる対策としては不適当です。,,,,,,,,,,,,,,
H30-AM-23,H30,午前,23,施工管理,山留め工事,ソイルセメント柱列山留め壁に関する記述として、最も不適当なものはどれか。,山留め壁の構築部に残っている既存建物の基礎を貫通するためのロックオーガーの径は、ソイルセメント施工径より小さくする。,ソイルセメントの硬化不良部分は、モルタル充填や背面地盤への薬液注入などの処置を行う。,セメント系注入液と混合撹拌する原位置土が粗粒土になるほど、ソイルセメントの一軸圧縮強度が大きくなる。,ソイルセメントの中に挿入する心材としては、H 形鋼などが用いられる。,1,【ショーケン版】ロックオーガー（障害物を壊すドリル）の穴がソイルセメントより「小さい」と、後で本番のドリルが引っかかって回らなくなるだろ！障害物を取り除く時は、後でソイルセメントがスムーズに打てるように、施工径と同じか「少し大きい」径でブチ抜くのが現場の定石だ！,【建龍版】ソイルセメント柱列壁の施工に関する問題です。既存構造物などの障害物を除去（ロックオーガーによる先行掘削）する場合、その掘削径は、その後に施工するソイルセメントの施工径を確保するため、「施工径と同等か、それ以上」とするのが一般的です。小さくすると本掘削に支障が出るため不適当です。,,,,,,,,,,,,,,
H30-AM-24,H30,午前,24,施工管理,杭工事,アースドリル工法による場所打ちコンクリート杭地業に関する記述として、最も不適当なものはどれか。,掘削終了後、鉄筋かごを建て込む前に1次孔底処理を行い、有害なスライムが残留している場合には、コンクリートの打込み直前に2次孔底処理を行う。,安定液は、必要な造壁性があり、できるだけ高粘性、高比重のものを用いる。,掘削深さの確認は、検測器具を用いて孔底の3箇所以上で検測する。,地下水がなく孔壁が自立する地盤では、安定液を使用しないことができる。,2,【ショーケン版】安定液の比重を上げすぎんな！比重や粘度が高すぎると、コンクリを打つ時に液がうまく入れ替わらずに、杭の周りに泥壁が厚く残っちまう（泥壁の肥大）。コンクリの品質を落とさないよう、安定液は機能を保てる範囲で「できるだけ低粘性・低比重」に管理するのが鉄則だ！,【建龍版】アースドリル工法の安定液管理に関する問題です。安定液（ベントナイト液等）は、孔壁を保護する造壁性が必要ですが、比重や粘性が高すぎるとコンクリート置換が不完全になり、杭の支持力低下やコンクリートへの泥土混入を招きます。したがって、管理基準を満たす範囲内で「できるだけ低比重・低粘性」とするのが適切であり、「できるだけ高粘性・高比重」とする記述は不適当です。,,,,,,,,,,,,,,
H30-AM-25,H30,午前,25,建築学,鉄筋工事,異形鉄筋の定着等に関する記述として、最も不適当なものはどれか。ただし、d は異形鉄筋の呼び名の数値とする。,大梁主筋に SD 345 を用いる場合の直線定着の長さは、コンクリート強度が同じならば、同径の SD 390 を用いる場合と同じである。,梁下端筋の柱梁接合部への定着は、原則として、梁下端筋を曲げ上げる形状で定着させる。,梁端の上端筋をカットオフする場合には、梁の端部から当該梁の内法長さの 1/4 となる点を起点とし、15 d 以上の余長を確保する。,梁の主筋を柱内に折曲げ定着とする場合には、仕口面からの投影定着長さを柱せいの 3/4 倍以上とする。,1,【ショーケン版】鉄筋の強度（SD345と390）が違うのに、定着長さが同じなわけねえだろ！強度が強い鉄筋（SD390）ほど、コンクリから抜けないように「より長く」埋め込まにゃならん。強度が同じなのは「フックの形状」とかの話だ。基本を間違えんな！,【建龍版】鉄筋の定着長さに関する問題です。鉄筋の定着長さ $L_d$ は、鉄筋の許容引張応力度（強度）に比例し、コンクリートの許容付着応力度に反比例します。強度の高い SD390 は、SD345 よりも長い定着長さが必要となるため、「同じである」とする記述は不適当です。,,,,,,,,,,,,,,
