id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
R6-AM-11,R6,午前,11,建築学,構造力学,表に示す角形鋼管柱の座屈荷重の値として、正しいものはどれか。ただし、図に示すとおり、支点は両端固定とし水平移動は拘束されているものとする。,600 π kN,600 π² kN,"2,400 π kN","2,400 π² kN",4,"【ショーケン版】座屈荷重の計算は公式を覚えるだけじゃねえ！「有効長さ $l_k$」をどう取るかが勝負の分かれ目だ。両端固定で水平移動なしなら $l_k = 0.5L$ だろ。つまり 10m の半分で 5,000mm だ。あとは公式 $P_{cr} = \pi^2 EI / l_k^2$ にブチ込めば「2,400π²」が出てくる。π を π² と間違えんなよ、選択肢に罠があるぞ！","【建龍版】オイラーの座屈荷重に関する問題です。両端固定・水平移動拘束の場合の座屈長さ $l_k$ は $0.5L = 5,000 \text{ mm}$ です。公式 $P_{cr} = \frac{\pi^2 EI}{l_k^2}$ に与えられた数値を代入すると、$\frac{\pi^2 \times (2.0 \times 10^5) \times (3.0 \times 10^8)}{(5,000)^2} = \frac{6.0 \times 10^{13} \pi^2}{25 \times 10^6} = 2,400,000 \pi^2 \text{ N} = 2,400 \pi^2 \text{ kN}$ となります。したがって正解は「4」です。",R6-AM-11.jpg
R6-AM-12,R6,午前,12,建築学,構造力学,図に示す梁の AB 間及び AC 間に等分布荷重 w が作用したとき、曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張側に描くものとする。,図1,図2,図3,図4,1,【ショーケン版】曲げモーメント図（BMD）をパッと見で選ぶなら、まず「張り出し部分（AC）」に注目しろ！上から荷重がかかってるんだから、張り出し部は「上側」が引っ張られるだろ？だから AC 間は上に山がなきゃおかしい。次に、支点 A で「くの字」に折れ曲がって、AB 間は荷重で下に膨らむ。この形になってるのは「図1」だけだ！,【建龍版】連続梁の曲げモーメント図の判別です。張り出し端 C はモーメント 0、支点 A では等分布荷重による片持ちモーメント $M_A = -w \cdot 2^2 / 2 = -2w$ が生じ、上縁引張となります。スパン AB 間では、中央付近で正のモーメント（下縁引張）が生じる放物線状の分布となります。これらを網羅し、引張側に正しく描かれているのは「1」です。,R6-AM-12.jpg
R6-AM-13,R6,午前,13,建築学,建築材料,鋼材に関する一般的な記述として、最も不適当なものはどれか。,鋼は、炭素量が多くなると、引張強さは増加し、靱性は低下する。,SN 490 B や SN 490 C は、炭素当量の上限の規定がない建築構造用圧延鋼材である。,鋼材の材質を変化させるための熱処理には、焼入れ、焼戻し、焼ならし等の方法がある。,低降伏点鋼は、制振装置に使用され、地震時に早期に降伏させることで制振効果を発揮する。,2,【ショーケン版】SN材（建築構造用圧延鋼材）をなめんなよ！溶接性や粘り（靭性）が命なんだから、「炭素当量」には厳しい上限が決まってるんだ。規定がないなんて言ったら、怖くて現場で溶接なんかできねえだろ！,【建龍版】建築構造用圧延鋼材（SN材）に関する問題です。SN材は溶接性や耐震性能を確保するため、化学成分（炭素当量Ceq等）に厳格な「上限値」が規定されています。したがって、規定がないとする記述は不適当です。,
R6-AM-14,R6,午前,14,建築学,建築材料,左官材料に関する記述として、最も不適当なものはどれか。,消石灰を混和材として用いたセメントモルタルは、こて伸びが良く、平滑な面が得られる。,ドロマイトプラスターは、それ自体に粘りがないため、のりを混ぜる必要がある。,メチルセルロースは、水溶性の微粉末で、セメントモルタルに添加することで作業性を向上させる。,適切な粒度分布を持った細骨材は、セメントモルタルの乾燥収縮やひび割れを抑制する効果がある。,2,【ショーケン版】ドロマイトプラスターの最大の武器は「粘り（プラスチック性）」だろ！自分で粘るから「のり」が要らねえのがドロマイトのいいところなんだよ。のりが要るのは粘りのない「消石灰」の方だ。特徴を逆さまで覚えてんぞ！,【建龍版】左官材料の性質に関する問題です。ドロマイトプラスターは、水和物自体に優れた粘り（可塑性）があるため、海藻のり等の糊剤を「必要としない」のが特徴です。一方、消石灰（しっくい）は粘りがないため糊剤が必要です。したがって2が不適当です。,
R6-AM-15,R6,午前,15,建築学,建築材料,日本産業規格(JIS)のドアセットに規定されている性能項目に関する記述として、不適当なものはどれか。,スイングドアセットでは、日射熱取得性が規定されている。,スイングドアセットでは、気密性が規定されている。,スライディングドアセットでは、遮音性が規定されている。,スライディングドアセットでは、ねじり強さが規定されている。,1,【ショーケン版】ドア（ドアセット）に「日射熱取得性」なんて項目があるか！それは「窓（サッシ）」の話だろ。ドアに求められるのは、風に耐える強度や音を遮る性能だ。光を通すのがメインじゃないドアに、日射熱をどうこう言う規定はねえんだよ！,【建龍版】JIS A 4702（ドアセット）に関する問題です。ドアセットの性能項目には、耐風圧性、気密性、水密性、遮音性、断熱性などはありますが、窓（JIS A 4706）のような「日射熱取得性」は規定されていません。したがって1が不適当です。,
R6-AM-16,R6,午前,16,建築学,測量,測量に関する記述として、最も不適当なものはどれか。,直接水準測量は、レベルと標尺を用いて、既知の基準点から順に次の点への高低を測定して、必要な地点の標高を求める方法である。,スタジア測量は、レベルと標尺を用いて、2 点間の距離を高い精度で求める方法である。,間接水準測量は、傾斜角や斜距離等を読み取り、計算によって高低差を求める方法である。,GNSS 測量は、複数の人工衛星から受信機への電波信号の到達時間差を測定して位置を求める方法である。,2,【ショーケン版】スタジア測量で「高精度」なんて無理だろ！標尺の目盛りの見え方でざっくり距離を出すもんだから、あんなの「略測（簡易的な測量）」なんだよ。マジで精度を出したきゃ、光波（トータルステーション）を使うのが現場の常識だ！,【建龍版】測量手法の精度に関する問題です。「スタジア測量」は、レベルやセオドライトの望遠鏡にあるスタジア線を用いて距離を算出する簡易的な手法であり、精度は高くありません。高い精度を求める記述は不適当です。,
R6-AM-17,R6,午前,17,建築学,電気設備,避雷設備に関する記述として、最も不適当なものはどれか。,避雷設備は、建築物の高さが 15 m を超える部分を雷撃から保護するように設けなければならない。,避雷設備の構造は、雷撃によって生ずる電流を建築物に被害を及ぼすことなく安全に地中に流すことができるものとしなければならない。,接地極は、建築物を取り巻くように環状に配置する場合、0.5 m 以上の深さで壁から 1 m 以上離して埋設する。,鉄骨造の鉄骨躯体は、構造体利用の引下げ導線の構成部材として利用することができる。,1,【ショーケン版】避雷針（避雷設備）が要るのは「20m」を超えてからだろ！「15m」なんて中途半端な数字に騙されるな。高さ20mっていうのは、建築基準法でも安全衛生法でも避雷設備のボーダーラインなんだよ。現場の安全を守る数字、絶対間違えるな！,【建龍版】建築基準法（第33条）およびJIS A 4201に関する問題です。避雷設備を設置しなければならない建築物の高さは、原則として「20 m を超える」ものです。15 m とする記述は不適当です。なお、接地極の埋設基準や鉄骨の利用については正しい記述です。,
R6-AM-18,R6,午前,18,建築学,空調設備,空気調和設備に関する記述として、最も不適当なものはどれか。,空気調和機は、一般にエアフィルタ、空気冷却器、空気加熱器、加湿器等で構成される装置である。,冷却塔は、温度上昇した冷却水を、空気と直接接触させて気化熱により冷却する装置である。,二重ダクト方式は、2 系統のダクトで送られた温風と冷風を、混合ユニットにより熱負荷に応じて混合量を調整して吹き出す方式である。,ファンコイルユニット方式における 2 管式の配管方式は、ゾーンごとに冷暖房の同時運転が可能で、室内環境の制御性に優れている。,4,【ショーケン版】2管式で「同時運転」ができるわけねえだろ！行きと帰りの「2本」しかないんだから、お湯か水のどっちかしか流せねえんだよ。冷房と暖房を同時にやりたきゃ、行き帰り2セットの「4管式」にしなきゃダメだ。配管の数とできることを考えろ！,【建龍版】ファンコイルユニット（FCU）の配管方式に関する問題です。「2管式」は冷水または温水のいずれか一系統しか供給できないため、同一系統内での冷暖房同時運転は不可能です。同時運転が可能なのは「4管式」であり、記述は不適当です。,
R6-AM-19,R6,午前,19,建築学,消火設備,消火設備に関する記述として、最も不適当なものはどれか。,不活性ガス消火設備は、二酸化炭素等の消火剤を放出するもので、酸素濃度の希釈効果や気化するときの熱吸収による冷却効果により消火するものである。,開放型スプリンクラー設備は、火災感知装置の作動、又は手動起動弁の開放によって放水区域のすべての開放型スプリンクラーヘッドから一斉に散水するものである。,泡消火設備は、特に低引火点の油類による火災の消火に適し、主として泡による窒息効果により消火するものである。,屋外消火栓設備は、散水ヘッドを消火活動が困難な場所に設置し、地上階の連結送水口を通じて消防車から送水して消火するものである。,4,【ショーケン版】屋外消火栓の説明がメチャクチャだぞ！「地上から送水してヘッドから出す」のは『連結散水設備』か『連結送水管』だろ。屋外消火栓は、建物の周りにある赤い箱からホースを出して、自分たちのポンプで水を出す設備だ！設備の名前と仕組みをシャッフルすんな！,【建龍版】消火設備の定義に関する問題です。記述にある「地上階の連結送水口を通じて消防車から送水する」のは「連結送水管」や「連結散水設備」の説明です。「屋外消火栓」は、建築物の周囲に設置され、初期消火や延焼防止のために使用する自前の加圧送水装置を持つ設備であり、記述は不適当です。,
R6-AM-20,R6,午前,20,建築学,積算,工事費における共通費に関する記述として、「公共建築工事共通費積算基準」上、誤っているものはどれか。,現場事務所、下小屋に要する費用は、共通仮設費に含まれる。,共通的な工事用機械器具(測量機器、揚重機械器具、雑機械器具)に要する費用は、共通仮設費に含まれる。,消火設備等の施設の設置、隣接物等の養生に要する費用は、現場管理費に含める。,火災保険、工事保険の保険料は、現場管理費に含まれる。,3,【ショーケン版】養生や仮設の消火器が「管理費」なわけねえだろ！それは現場を動かすための「共通仮設費」だ。管理費（現場管理費）ってのは、俺たち監督の給料とか通信費のことなんだよ。現場で汗かく設備は「共通仮設」、スーツでやる仕事が「管理費」って覚えときゃ間違いない！,【建龍版】公共建築工事積算基準における費用分類の問題です。「消火設備等の施設の設置」や「隣接物等の養生費」は、工事を円滑に進めるための仮設的設備であり「共通仮設費（積上分）」に分類されます。現場管理費とする記述は誤りです。,
R6-AM-21,R6,午前,21,施工管理,仮設工事,乗入れ構台の計画に関する記述として、最も不適当なものはどれか。,道路から乗入れ構台までの乗込みスロープは、勾配を 1/8 とした。,クラムシェルが作業する乗入れ構台の幅は、ダンプトラック通過時にクラムシェルが旋回して対応する計画とし、 8 m とした。,乗入れ構台の支柱の位置は、作業の合理性や安全性を考慮し、使用する施工機械や車両配置を最優先して決めた。,山留めの切梁支柱と乗入れ構台の支柱は、荷重に対する安全性を確認した上で兼用した。,1,【ショーケン版】スロープ勾配「1/8」は緩すぎだろ！現場の敷地は限られてんだ。乗入れ構台のスロープは「1/6」を標準にするのが鉄則だぞ。緩くしすぎてスロープが長くなりすぎたら、作業スペースがなくなっちまうぞ！,【建龍版】乗入れ構台の計画に関する問題です。道路から構台へのスロープ勾配は、一般に「1/6以内」とすることが標準です。1/8とする記述は、緩やかではありますが標準的な設計基準（1/6）から外れるため、比較検討上不適当とされることが多いです。,
R6-AM-22,R6,午前,22,施工管理,地盤調査,土質試験に関する記述として、最も不適当なものはどれか。,圧密試験により、砂質土の沈下特性を求めることができる。,三軸圧縮試験により、粘性土のせん断強度を求めることができる。,原位置における透水試験により、地盤に人工的に水位差を発生させ、水位の回復状況から透水係数を求めることができる。,粒度試験で求められた土粒子粒径の構成により、透水係数の概略値を推定することができる。,1,【ショーケン版】「圧密（あつみつ）」は粘土の話だろ！砂は水がすぐ抜けるから、圧密なんてのんびりした現象は起きねえんだよ。砂の沈下を知りたきゃ「標準貫入試験（N値）」や「平板載荷試験」だ。試験の名前と土の種類を間違えるな！,【建龍版】土質試験の適用に関する問題です。「圧密試験」は、粘性土地盤の長期間にわたる沈下（圧密沈下）を予測するための試験です。砂質土は透水性が高く、荷重に対して即時沈下を起こすため、圧密試験の対象とはなりません。したがって1が不適当です。,
R6-AM-23,R6,午前,23,施工管理,山留め工事,ソイルセメント柱列壁工法を用いた山留め壁に関する一般的な記述として、最も不適当なものはどれか。,剛性や遮水性に優れており、地下水位の高い軟弱地盤にも適している。,削孔撹拌速度は土質によって異なるが、引上げ撹拌速度は土質によらずおおむね同じである。,単軸オーガーによる削孔は、大径の玉石や礫が混在する地盤に用いられる。,セメント系注入液と混合撹拌する原位置土が粗粒土になるほど、ソイルセメントの一軸圧縮強度は大きくなる。,3,【ショーケン版】「単軸オーガー」でデカい玉石を掘ろうなんて無謀だぞ！単軸は粘土とか砂にはいいが、石に当たったら逃げ場がなくてすぐ止まっちまう。石がゴロゴロしてるなら、強力な「多軸」か、別の専用機を使わなきゃ現場が進まねえぞ！,【建龍版】ソイルセメント柱列壁工法（SMW工法等）に関する問題です。単軸オーガーは一般に均質な地盤に適しており、大径の玉石や硬い礫層の掘削には不向きです。そのような地盤では掘削効率が著しく低下するため、記述は不適当です。なお、砂質土（粗粒土）の方が粘性土より強度が出やすい（4）点は正しい知識です。,
R6-AM-24,R6,午前,24,施工管理,杭工事,場所打ちコンクリート杭の施工に関する記述として、最も不適当なものはどれか。,鉄筋かごの主筋と帯筋の交差部は、すべて溶接により接合した。,アースドリル工法の掘削深さは、検測器具を用いて、孔底の外周部に近い位置で 4 か所確認した。,杭頭部の余盛高さを、孔内水があったため、 800 mm 以上とした。,リバース工法における二次孔底処理は、トレミー管とサクションポンプを連結し、スライムを吸い上げた。,1,【ショーケン版】鉄筋かごを「すべて溶接」で固めるなよ！鉄筋は熱に弱いんだ。無理に溶接しまくると、鉄筋自体が細くなったり脆くなったりするだろ。基本は「結束線（針金）」で締めて、要所だけ点付け溶接するのが杭屋のルールだぞ！,【建龍版】場所打ち杭の鉄筋かご製作に関する問題です。主筋と帯筋（補強リング等）の交差部は、鉄筋の材質への影響を考慮し、原則として「焼きなまし鉄線による結束」とし、必要箇所のみを「点付け溶接」とします。「すべて溶接」とする記述は不適当です。,
R6-AM-25,R6,午前,25,施工管理,鉄筋工事,異形鉄筋の継手及び定着に関する記述として、最も不適当なものはどれか。,径の異なる鉄筋相互の重ね継手の長さは、太いほうの径により算定する。,D 35 以上の鉄筋には、原則として、重ね継手を用いない。,180°フック付き重ね継手の長さは、フックの折曲げ開始点間の距離とする。,梁の主筋を重ね継手とする場合、水平重ね又は上下重ねのいずれでもよい。,1,【ショーケン版】太さが違う鉄筋を繋ぐなら、継手の長さは「細い方」を基準に計算しろ！太い方に合わせたら、細い方の鉄筋にとってはオーバースペックで無駄になるだろ。力の伝達を考えれば、細い方の性能を100%引き出せば十分なんだよ！,【建龍版】鉄筋の重ね継手に関する問題です。径の異なる鉄筋を重ね継手とする場合、その長さ $L_2$ は「細い方の鉄筋径 $d$」を基準に算出します。太い方とする記述は経済性および設計基準（JASS 5）に反するため不適当です。,
R6-AM-26,R6,午前,26,施工管理,型枠工事,型枠工事に関する記述として、最も不適当なものはどれか。,等価材齢換算式による方法で計算した圧縮強度が所定の強度以上となったため、柱のせき板を取り外した。,合板せき板のたわみは、単純支持で計算した値と両端固定で計算した値の平均値とした。,コンクリートの施工時の側圧や鉛直荷重に対する型枠の各部材のたわみの許容値は、 3 mm 以下とした。,固定荷重の計算に用いる型枠の重量は、 0.4 kN/m2 とした。,2,【ショーケン版】「平均値」で計算するなんて、そんな適当な設計があるか！型枠のたわみ計算は、安全を見て「単純支持」でやるか、実際の連続性を考えて「連続梁」として計算するもんだ。平均なんて根拠のない数字で組んだら、コンクリの重みで腹ボテになっちまうぞ！,【建龍版】型枠の構造設計に関する問題です。せき板のたわみ計算において、単純支持と固定支持の「平均値」を採用するという規定や慣習はありません。一般に、より安全側の「単純支持」として計算するか、部材の連続性を考慮した計算式を用います。したがって2が不適当です。,
R6-AM-27,R6,午前,27,施工管理,コンクリート工事,コンクリートの養生に関する記述として、最も不適当なものはどれか。ただし、計画供用期間の級は標準とする。,早強ポルトランドセメントを用いたコンクリートの湿潤養生の期間は、普通ポルトランドセメントを用いた場合と同じである。,連続的に散水を行って水分を供給する方法による湿潤養生は、コンクリートの凝結が終了した後に行う。,打込み後のコンクリートが透水性の低いせき板で保護されている場合は、湿潤養生と考えてもよい。,マスコンクリートは、内部温度が上昇している期間は、コンクリート表面部の温度が急激に低下しないように養生を行う。,1,【ショーケン版】「早強（そうきょう）」セメントの意味を考えろ！早く強度が出るんだから、養生期間は「短くて済む」のがメリットだろ。普通セメントが5日間なら、早強は「3日間」でいいんだ。同じ期間も待ってたら、早強を使う意味がねえだろ！,【建龍版】コンクリートの湿潤養生期間（JASS 5）に関する問題です。普通ポルトランドセメントの標準養生期間（日平均気温15℃以上）が「5日間」であるのに対し、早強ポルトランドセメントは硬化が早いため「3日間」と短縮されます。同じとする記述は不適当です。,
